Region	log2FC	log2AveExpr	t.value	p.value	q.value	FPKM.WT_rep1	FPKM.WT_rep2	FPKM.E545K_rep1	FPKM.E545K_rep2	FPKM.H1047R_rep1	FPKM.H1047R_rep2	theAUC	UpRank	DownRank	MADScore	MADScoreGrp1	MADScoreGrp2	Averlog2FPKMGrp1	Averlog2FPKMGrp2	RegionSize	Regulation	Gene_2kb	Gencode_ids	Gene_2-50kb	Gencode_ids.1	Closest_Gene	Gencode_id	Distance	FeatureAssignment	-log2FC	aveEnrichment	PRank_metric	FCRank_metric	FCPRank_metric	FCPERank_metric
chr3:6928119-6928437	-6.19190422827218	-0.73236243421466	-8.45791034222841	8.661802301525779e-12	1.14078940404378e-08	6.87632	7.88841	0.0	0.0	16.48743	15.50212	1.0	220708.0	10.0	1.00314051809	0.01435407528	0.0	4.14077788716	0.79095698194	318	Down2	.	.	GRM7-AS2	ENSG00000237665.1	GRM7-AS2	ENSG00000237665.1	34098	Intron	6.19190422827218	7.79238	-11.062391732905445	-6.19190422827218	-68.49727014578043	-64.66871453143477
chr2:137383491-137383786	-5.2903906472114	1.02176785760699	-9.29279003891886	3.43938776368093e-13	1.05899214025866e-09	49.81162	42.83214	1.42211	0.48898	42.95114	43.32419	1.0	220756.0	1.0	0.79736430006	0.00162209383	0.2670981103	5.48080206997	1.40086094551	295	Down2	.	.	.	.	THSD7B	ENSG00000144229.12	227531	Intron	5.2903906472114	30.13836333333333	-12.463518858160697	-5.2903906472114	-65.93688359855625	-98.4632701451201
chr21:34704216-34704442	-5.27538763232421	-0.424895548740011	-7.04831777188838	2.15137488888977e-09	7.09383957031647e-07	1.93511	3.28878	0.61876	0.0	23.19912	16.96545	1.0	220711.0	9.0	0.92601758755	0.06950808138	0.32219031847	4.42570622057	1.01056794	226	Down2	.	.	CLIC6,LINC00160,LINC01426	ENSG00000159212.12,ENSG00000230978.2,ENSG00000234380.2	LINC00160	ENSG00000230978.2	32739	Intron	5.27538763232421	7.667870000000001	-8.667283904819477	-5.27538763232421	-45.72328231732736	-42.88443295956863
chr6:60919778-60919950	-5.21377335128835	-0.414644562405436	-7.03867619062835	2.2341030516907403e-09	7.30320915378162e-07	9.15351	9.18276	0.0	0.83866	25.40214	27.59938	1.0	220758.0	5.0	0.85083427852	0.0173033604	0.39163781405	4.81147898282	1.07489777054	172	Down2	.	.	RBBP4P3	ENSG00000276290.1	RBBP4P3	ENSG00000276290.1	45137	Intron	5.21377335128835	12.029408333333334	-8.65089679820858	-5.21377335128835	-45.1038151912456	-50.28735738672101
chrX:48071840-48072022	-5.2020295443152	-0.0576070367223759	-7.37514416318398	5.980003821535951e-10	2.72505186145101e-07	1.44176	1.02097	0.0	1.58517	30.72822	33.10526	1.0	220770.0	7.0	0.7457325081	0.01492000885	0.5507088776	5.06479829845	1.25837964676	182	Down2	ZNF630	ENSG00000221994.10	.	.	ZNF630	ENSG00000221994.10	183	Promoter.Up	5.2020295443152	11.313563333333336	-9.22329853847456	-5.2020295443152	-47.97987149318386	-52.31647212979178
chr6:60952496-60952880	-4.89268974950445	0.949308221011427	-8.86564350272119	1.78103166343906e-12	3.6558803731495404e-09	18.22226	14.03297	0.72834	0.7513	26.39706	28.52821	1.0	220734.0	2.0	0.85119535903	0.01606728167	0.00760902312	4.85993200975	1.30240601914	384	Down2	.	.	.	.	RBBP4P3	ENSG00000276290.1	77855	Dis3 (3' distal regions)	4.89268974950445	14.77669	-11.749328359517875	-4.89268974950445	-57.48581842817506	-68.86892404500502
chr3:100390649-100390853	-4.72119220950321	-1.49690524868248	-6.19516910814249	5.94716109274578e-08	9.06383152842039e-06	2.14379	3.18802	0.0	0.0	9.85205	7.16002	1.0	219624.0	135.0	0.88695489003	0.08470009355	0.0	3.33718264753	0.79095698194	204	Down2	.	.	LNP1,TOMM70	ENSG00000154174.7,ENSG00000206535.8	TOMM70	ENSG00000154174.7	8878	Intron	4.72119220950321	3.72398	-7.225690297461203	-4.72119220950321	-34.11387274065677	-23.00325901473809
chr4:115356310-115356442	-4.65477050702494	-1.43637554213736	-6.07487767627914	9.45062145494746e-08	1.30280571652244e-05	6.62628	9.15003	0.0	0.0	11.25392	17.98142	1.0	220719.0	17.0	0.95949512485	0.11174149197	0.0	3.99353998514	0.79095698194	132	Down2	.	.	.	.	MRPS33P3	ENSG00000251308.1	213328	Intergenic	4.65477050702494	7.501941666666667	-7.024539632170064	-4.65477050702494	-32.697619905253035	-30.39303021124161
chr2:22281131-22281363	-4.61001121787279	0.43579171802622	-7.71780435823542	1.5611202332829002e-10	1.03537123815926e-07	2.26207	4.80558	1.20552	0.62177	29.00224	28.33146	1.0	220735.0	3.0	0.77740769093	0.00479648954	0.16985116902	4.91910579119	1.39142187678	232	Down2	.	.	.	.	LINC01884	ENSG00000233587.2	226767	Intron	4.61001121787279	11.038106666666666	-9.806563647456183	-4.61001121787279	-45.20836842355652	-48.850272629174434
chr4:140696514-140696650	-4.54201983960791	-1.54307295214634	-5.96450395581425	1.44335134146461e-07	1.80892889493228e-05	1.28628	0.0	0.0	0.0	11.56545	12.08254	1.0	219948.0	24.0	0.96345325229	0.01086222377	0.0	3.75424138168	0.79095698194	136	Down2	.	.	RNY1P14,TBC1D9	ENSG00000109436.8,ENSG00000207155.1	RNY1P14	ENSG00000207155.1	4292	Intron	4.54201983960791	4.155711666666666	-6.84062793980977	-4.54201983960791	-31.07026781799216	-22.13099823148417
chr3:128337424-128337704	-4.48777050619338	0.376170859363076	-7.49438014673215	3.74731390101277e-10	1.95380830756077e-07	1.87429	3.98177	0.49943	1.03036	21.53376	22.17049	1.0	220754.0	15.0	0.76903843504	0.00634041369	0.17394133741	4.55295370703	1.30878767962	280	Down2	EEFSEC	ENSG00000132394.11	.	.	EEFSEC	ENSG00000132394.11	520	Promoter.Down	4.48777050619338	8.515016666666668	-9.426279925863296	-4.48777050619338	-42.30298103441202	-41.389640778888
chr6:170542161-170542312	-4.48235885208359	-0.72263124441786	-5.84200166975862	2.30505544012163e-07	2.57577227496515e-05	0.57925	0.0	0.9261	0.0	15.04614	25.39199	1.0	220025.0	13.0	0.88675964855	0.11649293544	0.41552700627	4.40840185934	1.09896214066	151	Down2	.	.	PDCD2,PSMB1,TBP	ENSG00000008018.9,ENSG00000071994.10,ENSG00000112592.14	PSMB1	ENSG00000008018.9	8129	Intron	4.48235885208359	6.9905800000000005	-6.637318624699778	-4.48235885208359	-29.75084389152233	-26.85246622000545
chr3:1849036-1849227	-4.48140201974621	-1.60934496829678	-5.83952369722489	2.32693642006553e-07	2.59386243885847e-05	6.41118	7.29644	0.0	0.0	8.69259	6.69143	1.0	219232.0	200.0	0.8749102719	0.07069642266	0.0	3.22213341995	0.79095698194	191	Down2	.	.	.	.	RPL21P17	ENSG00000214073.2	56425	Intergenic	4.48140201974621	4.848606666666666	-6.63321548297538	-4.48140201974621	-29.726105262817704	-22.801480829264676
chr21:29155448-29155913	-4.47098355348079	0.919589355514598	-8.14125202399997	2.97746824958148e-11	2.76900901331588e-08	17.86957	18.18199	0.30073	1.55108	20.67133	17.27644	1.0	220709.0	83.0	0.68939862751	0.0402901061	0.37434337129	4.36050598022	1.36602140467	465	Down2	.	.	AF124730.1,BACH1,LINC00189,MAP3K7CL,RF00012,RF00019,RPL12P9	ENSG00000156265.15,ENSG00000156273.16,ENSG00000201984.1,ENSG00000212479.2,ENSG00000215533.8,ENSG00000224649.1,ENSG00000232687.1	MAP3K7CL	ENSG00000156265.15	9889	Intron	4.47098355348079	12.641856666666664	-10.526152860946809	-4.47098355348079	-47.062256322717936	-53.409706710311966
chr14:45551338-45551473	-4.45805619632984	-0.83369120167606	-5.89507918314497	1.88235739658839e-07	2.20115664230818e-05	15.54966	19.2698	0.0	1.06852	21.36038	16.22938	1.0	219997.0	28.0	0.79895547431	0.06187868931	0.45079009071	4.34149520694	1.13652021643	135	Down2	.	.	.	.	LINC02303	ENSG00000258616.5	162947	Dis5 (5' distal regions)	4.45805619632984	12.24629	-6.725297915111653	-4.45805619632984	-29.981756042627666	-33.64235632388603
